url,name,price,was_price,discount,expected_price,mercari_price,profit,grade,is_new,is_price_down,notified
https://www.flannels.com/off-white-mens-body-scan-dnm-pant-skeleton-graphic-jeans-667329#colcode=66732918,Off White Men's Body Scan Dnm Pant Skeleton Graphic Jeans,39800,399800,90.0,8000,0,-31800,S,False,False,True
https://www.flannels.com/ted-baker-ted-navy-fleck-trs-sn99-579033#colcode=57903318,Ted Baker Men's Navy Fleck Suit Trousers,2800,28000,90.0,3000,0,200,S,False,False,True
https://www.flannels.com/richard-james-rivulet-tailored-fit-waistcoat-561782#colcode=56178203,Richard James Rivulet Tailored Fit Waistcoat,2800,28000,90.0,0,0,0,?,False,False,True
https://www.flannels.com/richard-james-wilder-tailored-fit-wool-waistcoat-560524#colcode=56052418,Richard James Wilder Tailored Fit Wool Waistcoat,2800,28000,90.0,8000,0,5200,S,False,False,True
https://www.flannels.com/richard-james-wilder-tailored-fit-birdseye-waistcoat-560509#colcode=56050918,Richard James Wilder Tailored Fit Birdseye Waistcoat,2800,28000,90.0,0,0,0,?,False,False,True
https://www.flannels.com/richard-james-rivulet-tuxedo-jacket-520085#colcode=52008518,Richard James Rivulet Tuxedo Jacket,6980,69800,90.0,0,0,0,?,False,False,True
https://www.flannels.com/off-white-mens---multiple-pocket-cargo-trousers-518202#colcode=51820203,Off White Men's - Multiple Pocket Cargo Trousers,11600,116000,90.0,15000,0,3400,S,False,False,True
https://www.flannels.com/mens-slim-fit-work-trousers-512788#colcode=51278802,Dickies Men's Slim Fit Work Trousers,1400,14000,90.0,3500,0,2100,S,False,False,True
https://www.flannels.com/balenciaga-low-waist-joggers-488526#colcode=48852618,Balenciaga Low-Waist Joggers,17000,170000,90.0,8500,0,-8500,S,False,False,True
https://www.flannels.com/missoni-missoni-ll-bb-cap-sn63-373355#colcode=37335503,Missoni Missoni LL BB Cap Sn63,3800,38000,90.0,3500,0,-300,S,False,False,True
https://www.flannels.com/yeezy-mens-basketball-sneakers--sock-like-feel-114754#colcode=11475499,"Yeezy Men's Basketball Sneakers, Sock-like Feel",6000,60000,90.0,0,0,0,?,False,True,True
https://www.flannels.com/yeezy-mens-basketball-sneakers--sock-like-feel-114754#colcode=11475403,"Yeezy Men's Basketball Sneakers, Sock-like Feel",6000,60000,90.0,0,0,0,?,False,False,True
https://www.flannels.com/gbadebo-mens-patchwork-workwear-organic-cotton-long-sleeve-oversized-fit-field-jacket-642700#colcode=64270018,Gbadebo Men's Patchwork Workwear Organic Cotton Long Sleeve Oversized Fit Field Jacket,15600,155800,90.0,0,0,0,?,False,False,True
https://www.flannels.com/boss-mens-h-jeckson-formal-jacket-335866#colcode=33586602,Boss Men's H Jeckson Formal Jacket,10000,99800,90.0,8000,0,-2000,S,False,False,True
https://www.flannels.com/boss-mens-h-reymond-formal-323777#colcode=32377702,Boss Men's H Reymond Formal,10000,99800,90.0,0,0,0,?,False,False,True
https://www.flannels.com/boss-mens-ryan-cyl-slim-fit-wool-suit-jacket-527163#colcode=52716302,Boss Men's Ryan Cyl Slim Fit Wool Suit Jacket,8400,83800,90.0,8000,0,-400,S,False,False,True
https://www.flannels.com/boss-mens-cyl-blazer--premium-virgin-wool-527162#colcode=52716202,"Boss Men's Cyl Blazer, Premium Virgin Wool",8400,83800,90.0,8000,0,-400,S,False,False,True
https://www.flannels.com/richard-james-wilder-tailored-fit-blue-birdseye-suit-jacket-520529#colcode=52052918,Richard James Wilder Tailored Fit Blue Birdseye Suit Jacket,5400,53800,90.0,8000,0,2600,S,False,False,True
https://www.flannels.com/boss-mens-duran-pad-quilted-button-overshirt-603951#colcode=60395102,Boss Men's Duran Pad Quilted Button Overshirt,4800,47800,90.0,0,0,0,?,False,False,True
https://www.flannels.com/boss-mens-tailored-fit-performance-waistcoat-566008#colcode=56600818,Boss Men's Tailored Fit Performance Waistcoat,4800,47800,90.0,0,0,0,?,False,False,True
https://www.flannels.com/boss-mens-huge-waistcoat-566006#colcode=56600606,Boss Men's Huge Waistcoat,4000,39800,89.9,0,0,0,?,False,False,True
https://www.flannels.com/boss-mens-straight-leg-trousers-511645#colcode=51164503,Boss Men's Straight Leg Trousers,4000,39800,89.9,0,0,0,?,False,False,True
https://www.flannels.com/boss-mens-heston-structured-shoulders-tailored-fit-single-breasted-formal-jacket-331697#colcode=33169705,Boss Men's Heston Structured Shoulders Tailored Fit Single-Breasted Formal Jacket,19000,189000,89.9,8000,0,-11000,S,False,False,True
https://www.flannels.com/boss-mens-genius-tux-cotton-slim-fit-suit-trousers-579230#colcode=57923019,Boss Men's Genius Tux Cotton Slim Fit Suit Trousers,3600,35800,89.9,0,0,0,?,False,False,True
https://www.flannels.com/boss-mens-straight-leg-trousers-511703#colcode=51170318,Boss Men's Straight Leg Trousers,3600,35800,89.9,0,0,0,?,False,False,True
https://www.flannels.com/off-white-mens-body-scan-dnm-pant-skeleton-graphic-jeans-667329#colcode=66732901,Off White Men's Body Scan Dnm Pant Skeleton Graphic Jeans,31800,316000,89.9,8000,0,-23800,S,False,False,True
https://www.flannels.com/boss-mens-tailored-fit-pleated-trousers-331665#colcode=33166518,Boss Men's Tailored Fit Pleated Trousers,15000,149000,89.9,0,0,0,?,False,False,True
https://www.flannels.com/off-white-mens-slim-cut-skinny-trousers-510425#colcode=51042599,Off White Men's Slim Cut Skinny Trousers,21800,216000,89.9,8000,0,-13800,S,False,False,True
https://www.flannels.com/off-white-mens---waterproof-ski-trousers-400536#colcode=40053606,Off White Men's - Waterproof Ski Trousers,33800,333000,89.8,12000,0,-21800,S,False,False,True
https://www.flannels.com/gbadebo-asymmetric-dungarees-580214#colcode=58021418,Gbadebo Asymmetric Dungarees,18000,177000,89.8,0,0,0,?,False,False,True
https://www.flannels.com/off-white-mens-urban-streetwear-face-mask-751783#colcode=75178399,Off White Men's Urban Streetwear Face Mask,2400,23000,89.6,0,0,0,?,False,False,True
https://www.flannels.com/off-white-mens-contemporary-mask-751775#colcode=75177599,Off White Men's Contemporary Mask,2400,23000,89.6,0,0,0,?,False,False,True
https://www.flannels.com/yeezy-mens-quantum-performance-ready-sneakers-110398#colcode=11039819,Yeezy Men's Quantum Performance-ready Sneakers,4600,44000,89.5,18000,0,13400,S,False,False,True
