url,name,price,was_price,discount,expected_price,mercari_price,profit,grade,is_new,is_price_down,notified
https://m.global.jdsports.com/product/black-the-north-face-simple-dome-t-shirt/704841/,The North Face Simple Dome T-Shirt,1600,4800,66.7,1500,1785,-100,D,True,False,True
https://m.global.jdsports.com/product/black-the-north-face-location-t-shirt/781454/,The North Face Location T-Shirt,2000,6000,66.7,2500,1653,500,D,True,False,True
https://m.global.jdsports.com/product/black-the-north-face-mountain-sketch-t-shirt/788586/,The North Face Mountain Sketch T-Shirt,2000,6000,66.7,2500,3173,500,D,True,False,True
https://m.global.jdsports.com/product/grey-the-north-face-motion-t-shirt/776513/,The North Face Motion T-Shirt,2400,6000,60.0,2500,1917,100,D,True,False,True
https://m.global.jdsports.com/product/blue-the-north-face-247-embossed-t-shirt/776498/,The North Face 24/7 Embossed T-Shirt,3000,7000,57.1,1200,0,-1800,D,True,False,False
https://m.global.jdsports.com/product/grey-the-north-face-247-shorts/776499/,The North Face 24/7 Shorts,3000,8000,62.5,3500,3900,500,D,True,False,True
https://m.global.jdsports.com/product/orange-the-north-face-performance-t-shirt/776521/,The North Face Performance T-Shirt,3000,8000,62.5,1500,1653,-1500,D,True,False,True
https://m.global.jdsports.com/product/white-the-north-face-simple-dome-t-shirt/776523/,The North Face Simple Dome T-Shirt,3000,4800,37.5,1500,0,-1500,D,True,False,False
https://m.global.jdsports.com/product/grey-the-north-face-centre-logo-t-shirt/781417/,The North Face Centre Logo T-Shirt,3000,4600,34.8,2500,0,-500,D,True,False,False
https://m.global.jdsports.com/product/grey-the-north-face-247-shorts/781440/,The North Face 24/7 Shorts,3000,8000,62.5,3500,3305,500,D,True,False,True
https://m.global.jdsports.com/product/white-the-north-face-globe-font-t-shirt/781441/,The North Face Globe Font T-Shirt,3000,6000,50.0,3500,0,500,D,True,False,False
https://m.global.jdsports.com/product/blue-the-north-face-graphic-performance-t-shirt/781450/,The North Face Graphic Performance T-Shirt,3000,7000,57.1,1500,0,-1500,D,True,False,False
https://m.global.jdsports.com/product/grey-the-north-face-247-embossed-t-shirt/781455/,The North Face 24/7 Embossed T-Shirt,3000,7000,57.1,1200,0,-1800,D,True,False,False
https://m.global.jdsports.com/product/blue-the-north-face-fine-box-logo-t-shirt/781457/,The North Face Fine Box Logo T-Shirt,3000,5600,46.4,0,0,0,?,True,False,False
